index,FName,LName,ERA,IP,BB,Hard Hits,FIP,WHIP,WHHIP
778,Craig,Stammen,3.06,88.33,13,92,3.75,1.04,1.189
779,Ryne,Stanek,3.42,68.33,37,72,4.11,1.21,1.595
780,Cody,Stashak,6.89,15.66,10,16,3.62,1.66,1.660
781,Josh,Staumont,2.88,65.66,27,74,3.49,1.07,1.538
782,Drew,Steckenrider,2.00,67.66,17,71,3.35,1.02,1.301
783,Justin,Steele,4.26,57,27,55,5.52,1.35,1.439
784,Trevor,Stephan,4.41,63.33,31,74,5.49,1.41,1.658
785,Robert,Stephenson,3.13,46,18,46,3.63,1.30,1.391
786,Kohl,Stewart,5.27,13.66,6,22,5.22,1.68,2.050
787,Jonathan,Stiever,27.00,0,0,0,3.17,4.00,NaN
788,Robert,Stock,8.00,9,9,11,8.84,2.11,2.222
789,Matt,Strahm,8.10,6.66,1,11,2.42,2.40,1.802
790,Stephen,Strasburg,4.57,21.66,14,27,5.71,1.38,1.893
791,Chris,Stratton,3.63,79.33,33,80,3.76,1.30,1.424
792,Hunter,Strickland,2.61,58.66,22,47,4.19,1.16,1.176
793,Spencer,Strider,3.86,2.33,1,3,10.03,1.29,1.717
794,Ross,Stripling,4.80,101.33,30,122,5.21,1.27,1.500
795,Marcus,Stroman,3.02,179,44,218,3.49,1.15,1.464
796,Pedro,Strop,0.00,2,2,1,3.17,2.00,1.500
797,Ranger,Suarez,1.36,106,33,85,2.72,1.00,1.113
798,Jose,Suarez,3.75,98.33,36,99,4.12,1.23,1.373
799,Wander,Suero,6.33,42.66,15,55,5.80,1.41,1.641
800,Cole,Sulser,2.70,63.33,23,64,2.98,1.12,1.374
801,Brent,Suter,3.07,73.1,24,76,3.91,1.31,1.368
802,Erik,Swanson,3.31,35.33,10,29,3.96,1.08,1.104
803,Anthony,Swarzak,9.49,12.33,1,19,6.41,1.70,1.622
804,Noah,Syndergaard,9.00,2,0,5,7.67,1.50,2.500
805,Thomas,Szapucki,14.73,3.66,3,9,10.53,2.73,3.279
806,Jameson,Taillon,4.30,144.33,44,166,4.43,1.21,1.455
807,Domingo,Tapia,2.67,33.66,15,40,3.35,1.19,1.634
808,Stephen,Tarpley,18.00,0,2,0,12.17,3.00,0.000
809,Dillon,Tate,4.39,67.66,23,79,4.40,1.24,1.508
810,Mike,Tauchman,9.00,1,0,3,3.17,3.00,3.000
811,Josh,Taylor,3.40,47.66,23,55,2.83,1.43,1.637
812,Blake,Taylor,3.16,42.66,22,36,4.62,1.41,1.360
813,Julio,Teheran,1.80,5,3,7,6.37,1.40,2.000
814,Ryan,Tepera,2.79,61.33,19,50,2.73,0.88,1.125
815,Caleb,Thielbar,3.23,64,20,65,3.47,1.17,1.328
816,Keegan,Thompson,3.38,53.33,31,68,5.16,1.48,1.856
817,Mason,Thompson,4.01,24.66,15,35,5.36,1.91,2.028
818,Ryan,Thompson,2.38,34,9,31,3.11,1.03,1.176
819,Zach,Thompson,3.24,75,28,74,3.69,1.21,1.360
820,Trent,Thornton,4.78,49,16,68,5.46,1.43,1.714
821,Lewis,Thorpe,4.70,15.33,7,25,5.45,1.37,2.087
822,Ty,Tice,4.50,8,5,9,5.55,1.88,1.750
823,Jesus,Tinoco,33.75,1.33,1,4,36.92,4.50,3.759
824,Ka'ai,Tom,0.00,1,0,0,3.17,1.00,0.000
825,Josh,Tomlin,6.57,49.33,5,67,4.67,1.50,1.460
826,Justin,Topa,29.70,3.33,1,9,11.27,3.90,3.003
827,Ronald,Torreyes,13.50,2.66,0,8,12.17,2.25,3.008
828,Touki,Toussaint,4.50,50,22,68,5.79,1.30,1.800
829,Blake,Treinen,1.99,72.33,25,47,2.88,0.98,0.995
830,Lou,Trivino,3.18,73.66,34,69,3.78,1.25,1.398
831,Nick,Tropeano,2.25,8,3,9,5.42,1.38,1.500
832,Spencer,Turnbull,2.88,50,12,47,2.95,0.98,1.180
833,Justin,Turner,0.00,1,0,4,3.17,2.00,4.000
834,Kyle,Tyler,2.92,12.1,6,12,5.20,1.14,1.488
835,Edwin,Uceta,6.64,20.33,12,20,4.40,1.52,1.574
836,Duane,Underwood Jr.,4.33,72.66,27,96,4.27,1.43,1.693
837,Jose,Urena,5.81,100.66,42,164,5.02,1.60,2.046
838,Julio,Urias,2.96,185.66,38,153,3.13,1.02,1.029
839,Jose,Urquidy,3.62,107,19,112,4.14,0.99,1.224
840,Pat,Valaika,0.00,1.33,0,1,3.17,0.00,0.752
841,Phillips,Valdez,5.85,40,19,42,4.67,1.35,1.525
842,Cesar,Valdez,5.87,46,14,64,4.45,1.65,1.696
843,Framber,Valdez,3.14,134.66,58,168,4.01,1.25,1.678
844,Andrew,Vasquez,0.00,1.66,0,2,-0.43,0.60,1.205
845,Vince,Velasquez,6.30,94.33,49,114,5.88,1.48,1.728
846,Alex,Vesia,2.25,40,22,29,4.22,0.98,1.275
847,Will,Vest,6.17,35,18,40,4.17,1.60,1.657
848,Nick,Vincent,0.71,12.66,5,11,4.20,0.87,1.264
849,Austin,Voth,5.34,57.33,28,66,4.90,1.48,1.640
850,Michael,Wacha,5.05,124.66,31,159,4.47,1.31,1.524
851,Brandon,Waddell,6.75,9.33,9,19,7.35,2.46,3.001
852,Konner,Wade,11.68,12.33,5,21,5.76,2.27,2.109
853,Adam,Wainwright,3.05,206.33,50,209,3.66,1.06,1.255
854,Taijuan,Walker,4.47,159,55,177,4.57,1.18,1.459
855,Andrew,Wantz,4.94,27.33,11,23,4.30,1.24,1.244
856,Art,Warren,1.29,21,8,11,1.84,0.90,0.905
857,Austin,Warren,1.77,20.33,5,23,2.09,1.03,1.377
858,Spenser,Watkins,8.07,54.66,19,76,6.37,1.70,1.738
859,Tony,Watson,3.92,57.33,18,49,3.48,1.01,1.169
860,Ryan,Weathers,5.32,94.66,30,128,5.44,1.38,1.669
861,Luke,Weaver,4.25,65.66,20,79,4.42,1.19,1.508
862,Jacob,Webb,4.19,34.33,14,31,4.07,1.51,1.311
863,Logan,Webb,3.03,148.33,36,153,2.72,1.11,1.274
864,Tyler,Webb,13.22,16.33,19,20,5.74,2.51,2.388
865,Ryan,Weber,12.10,9.66,4,16,9.79,1.97,2.070
866,Jordan,Weems,15.88,5.66,6,10,8.99,2.12,2.827
867,Patrick,Weigel,4.50,4,4,2,5.67,2.00,1.500
868,Alexander,Wells,6.75,42.66,16,72,6.33,1.62,2.063
869,Tyler,Wells,4.11,57,12,60,3.63,0.91,1.263
870,J.B.,Wendelken,4.33,43.66,22,46,4.09,1.51,1.557
871,Zack,Wheeler,2.78,213.33,46,156,2.59,1.01,0.947
872,Mitch,White,3.66,46.66,17,49,3.83,1.18,1.414
873,Kodi,Whitley,2.49,25.33,12,15,2.97,1.07,1.066
874,Garrett,Whitlock,1.96,73.33,17,73,2.84,1.10,1.227
875,Rowan,Wick,4.30,23,14,17,3.17,1.35,1.348
876,Taylor,Widener,4.35,70.33,37,90,5.56,1.45,1.806
877,Brad,Wieck,0.00,17,10,13,1.64,1.18,1.353
878,Stevie,Wilkerson,9.00,1,0,3,16.17,2.00,3.000
879,Trevor,Williams,4.35,91,31,105,3.88,1.49,1.495
880,Devin,Williams,2.50,54,28,31,2.82,1.19,1.093
881,Taylor,Williams,4.63,11.66,8,17,5.31,1.71,2.144
882,Justin,Wilson,5.29,34,16,37,5.26,1.41,1.559
883,Bryse,Wilson,5.35,74,22,107,5.49,1.45,1.743
884,Dan,Winkler,5.22,39.66,30,29,5.74,1.56,1.488
