index,FName,LName,ERA,IP,BB,Hard Hits,FIP,SIERA,WHIP,WHHIP
248,Erick,Fedde,5.47,133.33,48,164,4.66,4.30,1.440,1.590
249,Neftali,Feliz,9.00,4,1,4,6.42,4.52,1.500,1.250
250,Michael,Feliz,7.20,20,7,29,4.62,3.95,1.650,1.800
251,Ryan,Feltner,11.37,6.33,5,7,10.28,6.52,2.210,1.896
252,Julian,Fernandez,10.80,6.66,4,10,7.67,6.07,1.950,2.102
253,Junior,Fernandez,5.66,20.66,15,24,5.15,5.67,1.940,1.888
254,J.P.,Feyereisen,2.73,56,33,59,4.21,4.85,1.230,1.643
255,Mike,Fiers,7.71,9.33,4,18,8.96,5.92,2.040,2.358
256,Kyle,Finnegan,3.55,66,34,73,4.52,4.30,1.480,1.621
257,Jay,Flaa,13.50,2.66,3,3,14.05,6.41,2.250,2.256
258,Jack,Flaherty,3.22,78.33,26,85,4.22,3.92,1.060,1.417
259,Josh,Fleming,5.09,104.33,31,122,4.27,4.51,1.350,1.467
260,Aaron,Fletcher,12.27,3.66,1,9,6.44,4.76,2.180,2.732
261,Chris,Flexen,3.61,179.66,40,217,3.89,4.70,1.250,1.430
262,Bernardo,Flores Jr.,9.00,0,2,1,9.17,NaN,3.000,Infinity
263,Dylan,Floro,2.81,64,25,59,2.81,3.93,1.220,1.312
264,Jason,Foley,2.61,10.33,5,17,5.59,5.14,1.260,2.130
265,Mike,Foltynewicz,5.44,139,36,189,6.02,4.90,1.260,1.619
266,Matt,Foster,6.00,39,13,53,5.27,4.10,1.440,1.692
267,Seth,Frankoff,9.20,14.66,9,19,7.47,5.74,1.980,1.910
268,Kyle,Freeland,4.33,120.66,38,130,4.63,4.44,1.420,1.392
269,Mike,Freeman,0.00,0.33,0,0,-2.83,-0.12,0.000,0.000
270,Luis,Frias,2.70,3.1,5,4,5.87,8.58,2.100,2.903
271,Max,Fried,3.04,165.66,41,158,3.31,3.76,1.090,1.201
272,Jace,Fry,10.80,6.66,6,7,7.37,6.29,2.400,1.952
273,Paul,Fry,6.08,47.33,35,39,3.93,4.46,1.520,1.563
274,Joshua,Fuentes,0.00,1,0,3,3.17,6.25,1.000,3.000
275,Michael,Fulmer,2.97,69.66,20,70,3.46,3.60,1.280,1.292
276,Carson,Fulmer,6.66,25.66,13,33,4.69,4.52,1.520,1.793
277,Kyle,Funkhouser,3.42,68.33,38,71,4.27,4.60,1.400,1.595
278,Giovanny,Gallegos,3.02,80.33,20,73,2.75,3.01,0.880,1.158
279,Zac,Gallen,4.30,121.33,49,140,4.25,4.04,1.290,1.558
280,John,Gant,4.09,110,71,125,4.78,5.49,1.510,1.782
281,Jarlin,Garcia,2.62,68.66,18,73,3.77,3.52,0.960,1.325
282,Rony,Garcia,2.45,3.66,2,5,7.26,6.43,0.820,1.913
283,Luis,Garcia,3.24,33.33,8,42,2.72,3.36,0.990,1.500
284,Bryan,Garcia,7.55,39.33,25,65,6.91,5.43,1.860,2.288
285,Yimi,Garcia,4.21,57.66,18,59,3.88,3.61,1.160,1.335
286,Deivi,Garcia,6.48,8.33,4,8,4.85,5.65,1.440,1.441
287,Edgar,Garcia,12.27,14.66,8,16,7.81,4.92,1.840,1.637
288,Luis,Garcia,3.48,155.33,50,160,3.63,3.91,1.180,1.352
289,Robel,Garcia,36.00,1,0,2,29.17,7.80,5.000,2.000
290,Braxton,Garrett,5.03,34,20,41,4.38,5.15,1.820,1.794
291,Amir,Garrett,6.04,47.66,29,58,4.89,3.99,1.570,1.825
292,Justin,Garza,4.71,28.66,18,42,5.30,4.79,1.570,2.094
293,Ralph,Garza,3.56,30.33,14,33,4.88,4.36,1.250,1.550
294,Kevin,Gausman,2.81,192,50,202,3.00,3.42,1.040,1.312
295,Domingo,German,4.58,98.33,27,107,4.31,4.03,1.180,1.363
296,Ian,Gibaut,2.70,6.66,2,14,7.22,4.74,1.350,2.402
297,Kyle,Gibson,3.71,182,64,206,3.87,4.40,1.220,1.484
298,Luis,Gil,3.07,29.33,19,28,4.40,4.55,1.330,1.602
299,Logan,Gilbert,4.68,119.33,28,152,3.73,3.87,1.170,1.508
300,Tyler,Gilbert,3.15,40,13,40,4.27,5.21,1.030,1.325
301,Lucas,Gilbreath,3.38,42.66,23,27,4.32,4.40,1.310,1.172
302,Kevin,Ginkel,6.35,28.33,14,29,5.89,4.17,1.550,1.518
303,Lucas,Giolito,3.53,178.66,52,159,3.79,3.72,1.100,1.181
304,Mychal,Givens,3.35,51,27,36,4.54,4.29,1.370,1.235
305,Tyler,Glasnow,2.66,88,27,89,2.77,2.92,0.930,1.318
306,Zack,Godley,16.20,3.33,5,5,13.37,6.76,2.700,3.003
307,Austin,Gomber,4.53,115.33,41,111,4.61,4.29,1.240,1.318
308,Stephen,Gonsalves,4.15,4.33,2,3,3.40,4.37,0.920,1.155
309,Tony,Gonsolin,3.23,55.66,34,49,4.54,4.65,1.350,1.491
310,Marco,Gonzales,3.96,143.33,42,159,5.28,4.94,1.170,1.402
311,Romy,Gonzalez,0.00,0.33,0,0,-2.83,-0.12,0.000,0.000
312,Victor,Gonzalez,3.57,35.33,19,26,4.27,4.32,1.440,1.274
313,Marwin,Gonzalez,0.00,1,0,1,3.17,4.94,0.000,1.000
314,Anthony,Gose,1.35,6.66,2,1,1.37,2.35,0.600,0.450
315,Ashton,Goudeau,4.19,34.33,17,32,5.06,5.20,1.190,1.427
316,Brusdar,Graterol,4.59,33.33,13,34,3.95,4.01,1.410,1.410
317,Kendall,Graveman,1.77,56,20,47,3.19,3.30,0.980,1.196
318,Josiah,Gray,5.48,70.66,33,71,6.00,4.60,1.360,1.472
319,Sonny,Gray,4.19,135.33,50,116,3.99,3.85,1.220,1.227
320,Jon,Gray,4.59,149,58,159,4.22,4.17,1.330,1.456
321,Chad,Green,3.12,83.66,17,86,3.59,2.95,0.880,1.231
322,Conner,Greene,7.11,25.33,12,27,3.41,4.39,1.740,1.540
323,Shane,Greene,7.23,23.66,14,29,6.72,4.78,1.650,1.817
324,Zack,Greinke,4.16,171,36,191,4.71,4.54,1.170,1.327
325,Robert,Gsellman,3.77,28.66,7,29,4.29,4.45,1.190,1.256
326,Reymin,Guduan,6.28,14.33,5,21,4.43,5.85,1.670,1.814
327,Sean,Guenther,9.30,20.33,10,29,4.10,5.01,2.020,1.918
328,Javy,Guerra,16.50,6,3,13,11.34,5.55,2.500,2.667
329,Javy,Guerra,4.91,3.66,2,7,3.17,5.05,1.640,2.459
330,Junior,Guerra,6.06,65.33,46,70,4.75,5.18,1.730,1.776
331,Deolis,Guerra,4.11,65.66,20,62,3.96,4.01,1.110,1.249
