index,Name,PlayerID,ERA,IP,BB,Hard Hits,WHIP,WHHIP
761,Tayler Saucedo,642048,4.56,25.66,10,16,1.247,1.013
762,Hirokazu Sawamura,617228,3.06,53,32,27,1.453,1.113
763,Josh Sborz,622250,3.97,59,32,34,1.424,1.119
764,Mac Sceroler,669135,14.09,7.66,7,10,2.870,2.219
765,Max Scherzer,453286,2.46,179.33,36,70,0.864,0.591
766,Clarke Schmidt,657376,5.68,6.33,5,4,2.526,1.422
767,John Schreiber,670167,3.00,3,1,2,1.667,1.000
768,Max Schrock,621011,0.00,1.66,0,0,0.000,0.000
769,Tanner Scott,656945,5.17,54,37,22,1.574,1.093
770,Andre Scrubb,668687,5.03,19.66,14,10,1.475,1.221
771,Connor Seabold,657756,6.00,3,2,3,1.667,1.667
772,Sam Selman,572125,5.76,25,12,10,1.280,0.880
773,Antonio Senzatela,622608,4.42,156.66,32,111,1.340,0.913
774,Luis Severino,622663,0.00,6,1,2,0.500,0.500
775,Paul Sewald,623149,3.06,64.66,24,27,1.021,0.789
776,Bryan Shaw,543766,3.49,77.33,38,38,1.384,0.983
777,Jordan Sheffield,642068,3.38,29.33,13,10,1.091,0.784
778,Justus Sheffield,656954,6.83,80.33,43,75,1.842,1.469
779,James Sherfy,642073,4.20,15,4,4,1.067,0.533
781,Ryan Sherriff,595411,5.52,14.66,9,8,1.568,1.160
782,Matt Shoemaker,533167,8.06,60.33,27,44,1.658,1.177
783,Chasen Shreve,592741,3.20,56.33,28,25,1.260,0.941
784,Lucas Sims,608371,4.40,47,18,20,1.106,0.809
785,Brady Singer,663903,4.91,128.33,53,81,1.551,1.044
786,Brandyn Sittinger,670087,7.71,4.66,2,5,1.500,1.502
787,Tarik Skubal,669373,4.34,149.33,47,87,1.259,0.897
788,Austin Slater,596103,0.00,0.33,1,0,3.000,3.030
789,Aaron Slegers,642083,6.97,31,15,29,1.871,1.419
790,Devin Smeltzer,656970,0.00,4.66,1,0,0.429,0.215
791,Burch Smith,572143,5.40,43.33,11,33,1.385,1.015
792,Caleb Smith,592761,4.83,113.66,63,48,1.372,0.977
793,Drew Smith,622098,2.40,41.33,16,18,1.065,0.823
794,Joe Smith,501925,4.99,39.66,8,24,1.387,0.807
795,Riley Smith,642092,6.01,67.33,15,51,1.500,0.980
796,Will Smith,519293,3.44,68,28,32,1.132,0.882
797,Drew Smyly,592767,4.48,126.66,41,82,1.374,0.971
798,Kirby Snead,669912,2.35,7.66,2,3,1.174,0.653
799,Blake Snell,605483,4.20,128.66,69,57,1.321,0.979
800,Nicklaus Snyder,676766,4.91,3.66,3,0,1.636,0.820
801,Eric Sogard,519299,6.23,4.33,0,5,1.615,1.155
802,Peter Solomon,656981,1.29,14,8,6,1.286,1.000
803,Joakim Soria,465657,5.06,37.33,12,24,1.366,0.964
804,Gregory Soto,642397,3.39,63.66,40,22,1.351,0.974
805,Gabe Speier,642100,1.17,7.66,0,2,1.304,0.261
807,Shea Spitzbarth,665661,3.60,5,2,2,1.200,0.800
808,Jeffrey Springs,605488,3.43,44.66,14,18,1.097,0.717
809,Craig Stammen,489334,3.06,88.33,13,41,1.042,0.611
810,Ryne Stanek,592773,3.42,68.33,37,29,1.215,0.966
811,Cody Stashak,664054,6.89,15.66,10,11,1.660,1.341
812,Josh Staumont,622251,2.88,65.66,27,27,1.066,0.822
813,Drew Steckenrider,608716,2.00,67.66,17,34,1.020,0.754
814,Justin Steele,657006,4.26,57,27,28,1.351,0.965
815,Trevor Stephan,663986,4.41,63.33,31,33,1.405,1.011
816,Robert Stephenson,596112,3.13,46,18,22,1.304,0.870
817,Kohl Stewart,640464,5.27,13.66,6,12,1.683,1.318
818,Jonathan Stiever,680692,Infinity,0,0,0,NaN,0.000
819,Robert Stock,476594,8.00,9,9,8,2.111,1.889
820,Matt Strahm,621381,8.10,6.66,1,7,2.400,1.201
821,Stephen Strasburg,544931,4.57,21.66,14,9,1.385,1.062
822,Chris Stratton,608717,3.63,79.33,33,37,1.298,0.882
823,Hunter Strickland,519326,2.61,58.66,22,25,1.159,0.801
824,Spencer Strider,675911,3.86,2.33,1,1,1.286,0.858
825,Ross Stripling,548389,4.80,101.33,30,62,1.273,0.908
826,Marcus Stroman,573186,3.02,179,44,96,1.145,0.782
827,Pedro Strop,467008,0.00,2,2,1,2.000,1.500
828,Jose Suarez,660761,3.75,98.33,36,42,1.231,0.793
829,Ranger Suarez,624133,1.36,106,33,42,1.000,0.708
830,Wander Suero,593833,6.33,42.66,15,31,1.406,1.078
831,Cole Sulser,642121,2.70,63.33,23,32,1.121,0.868
833,Brent Suter,608718,3.07,73.33,24,40,1.309,0.873
834,Erik Swanson,657024,3.31,35.33,10,14,1.076,0.679
835,Anthony Swarzak,461872,9.49,12.33,1,11,1.703,0.973
836,Noah Syndergaard,592789,9.00,2,0,2,1.500,1.000
837,Thomas Szapucki,663378,14.73,3.66,3,5,2.727,2.186
838,Jameson Taillon,592791,4.30,144.33,44,80,1.206,0.859
839,Domingo Tapia,593619,2.67,33.66,15,13,1.188,0.832
840,Stephen Tarpley,605501,Infinity,0,2,0,NaN,0.000
841,Dillon Tate,622253,4.39,67.66,23,34,1.241,0.842
842,Mike Tauchman,643565,9.00,1,0,2,3.000,2.000
843,Blake Taylor,642130,3.16,42.66,22,17,1.406,0.914
844,Josh Taylor,657031,3.40,47.66,23,27,1.427,1.049
845,Julio Teheran,527054,1.80,5,3,3,1.400,1.200
846,Ryan Tepera,572193,2.79,61.33,19,19,0.880,0.620
847,Caleb Thielbar,573204,3.23,64,20,33,1.172,0.828
848,Keegan Thompson,624522,3.38,53.33,31,32,1.481,1.181
849,Mason Thompson,666168,4.01,24.66,15,19,1.905,1.379
850,Ryan Thompson,657044,2.38,34,9,16,1.029,0.735
851,Zach Thompson,605507,3.24,75,28,30,1.213,0.773
852,Trent Thornton,663423,4.78,49,16,40,1.429,1.143
853,Lewis Thorpe,626929,4.70,15.33,7,12,1.370,1.239
854,Ty Tice,676709,4.50,8,5,6,1.875,1.375
855,Jesus Tinoco,622786,33.75,1.33,1,3,4.500,3.008
856,Ka'ai Tom,664789,0.00,1,0,0,1.000,0.000
857,Josh Tomlin,458708,6.57,49.33,5,37,1.500,0.851
859,Justin Topa,623437,29.70,3.33,1,7,3.900,2.402
860,Ronald Torreyes,591720,13.50,2.66,0,5,2.250,1.880
861,Touki Toussaint,657053,4.50,50,22,33,1.300,1.100
862,Blake Treinen,595014,1.99,72.33,25,16,0.982,0.567
863,Lou Trivino,642152,3.18,73.66,34,30,1.249,0.869
864,Nick Tropeano,607374,2.25,8,3,3,1.375,0.750
865,Spencer Turnbull,605513,2.88,50,12,20,0.980,0.640
866,Justin Turner,457759,0.00,1,0,2,2.000,2.000
867,Kyle Tyler,667725,2.92,12.33,6,3,1.135,0.730
868,Edwin Uceta,670955,6.64,20.33,12,13,1.525,1.230
869,Duane Underwood,621249,4.33,72.66,27,44,1.431,0.977
870,Jose Urena,570632,5.81,100.66,42,70,1.599,1.113
871,Julio Urias,628711,2.96,185.66,38,77,1.018,0.619
872,Jose Urquidy,664353,3.62,107,19,50,0.991,0.645
873,Pat Valaika,642162,0.00,1.33,0,0,0.000,0.000
874,Cesar Valdez,491624,5.87,46,14,34,1.652,1.043
875,Framber Valdez,664285,3.14,134.66,58,65,1.248,0.913
876,Phillips Valdez,570488,5.85,40,19,19,1.350,0.950
877,Andrew Vasquez,607755,0.00,1.66,0,1,0.600,0.602
878,Vince Velasquez,592826,6.30,94.33,49,60,1.484,1.156
879,Alex Vesia,681911,2.25,40,22,11,0.975,0.825
880,Will Vest,676684,6.17,35,18,21,1.600,1.114
881,Nick Vincent,543883,0.71,12.66,5,4,0.868,0.711
882,Austin Voth,608723,5.34,57.33,28,35,1.483,1.099
883,Michael Wacha,608379,5.05,124.66,31,83,1.308,0.914
885,Brandon Waddell,663399,6.75,9.33,9,12,2.464,2.251
886,Konner Wade,592831,11.68,12.33,5,10,2.270,1.217
887,Adam Wainwright,425794,3.05,206.33,50,90,1.057,0.679
888,Taijuan Walker,592836,4.47,159,55,79,1.182,0.843
889,Andrew Wantz,681806,4.94,27.33,11,10,1.244,0.768
890,Art Warren,605521,1.29,21,8,4,0.905,0.571
891,Austin Warren,681810,1.77,20.33,5,13,1.033,0.885
892,Spenser Watkins,657093,8.07,54.66,19,43,1.701,1.134
893,Tony Watson,453265,3.92,57.33,18,21,1.012,0.680
894,Ryan Weathers,677960,5.32,94.66,30,64,1.384,0.993
895,Luke Weaver,596133,4.25,65.66,20,36,1.188,0.853
896,Jacob Webb,657097,4.19,34.33,14,14,1.515,0.816
897,Logan Webb,657277,3.03,148.33,36,66,1.106,0.688
898,Tyler Webb,643778,13.22,16.33,19,14,2.510,2.021
899,Ryan Weber,543901,12.10,9.66,4,10,1.966,1.449
900,Jordan Weems,607179,15.88,5.66,6,4,2.118,1.767
901,Patrick Weigel,622256,4.50,4,4,1,2.000,1.250
902,Alexander Wells,649144,6.75,42.66,16,34,1.617,1.172
903,Tyler Wells,669330,4.11,57,12,26,0.912,0.667
904,J. B. Wendelken,605525,4.33,43.66,22,26,1.512,1.099
905,Zack Wheeler,554430,2.78,213.33,46,85,1.008,0.614
906,Mitch White,669952,3.66,46.66,17,20,1.179,0.793
907,Kodi Whitley,676831,2.49,25.33,12,8,1.066,0.790
908,Garrett Whitlock,676477,1.96,73.33,17,40,1.105,0.777
909,Rowan Wick,592858,4.30,23,14,8,1.348,0.957
911,Taylor Widener,642203,4.35,70.33,37,45,1.450,1.166
912,Brad Wieck,623364,0.00,17,10,6,1.177,0.941
913,Stevie Wilkerson,592859,9.00,1,0,2,2.000,2.000
914,Devin Williams,642207,2.50,54,28,18,1.185,0.852
915,Taylor Williams,592865,4.63,11.66,8,8,1.714,1.372
916,Trevor Williams,592866,4.35,91,31,58,1.495,0.978
917,Bryse Wilson,669060,5.35,74,22,52,1.446,1.000
918,Justin Wilson,458677,5.29,34,16,15,1.412,0.912
919,Dan Winkler,595465,5.22,39.66,30,18,1.563,1.210
920,Matt Wisler,605538,3.70,48.66,11,17,1.069,0.575
921,Nick Wittgren,621295,5.05,62.33,17,48,1.251,1.043
922,Asher Wojciechowski,592879,4.50,4,3,2,1.500,1.250
923,Alex Wood,622072,3.83,138.66,39,70,1.183,0.786
924,Hunter Wood,621056,3.60,5,2,2,0.800,0.800
925,Jake Woodford,663765,3.99,67.66,25,44,1.345,1.020
926,Brandon Woodruff,605540,2.56,179.33,43,66,0.965,0.608
927,Brandon Workman,519443,5.46,28,21,22,2.036,1.536
928,Kyle Wright,657140,9.95,6.33,5,6,1.895,1.738
929,Mike Wright,605541,5.50,18,11,7,1.556,1.000
930,Austin Wynns,642851,9.00,1,0,1,1.000,1.000
931,Miguel Yajure,664337,8.40,15,7,12,1.600,1.267
932,Jordan Yamamoto,657141,4.05,6.66,2,5,1.800,1.051
933,Hyeon-jong Yang,660365,5.60,35.33,16,24,1.642,1.132
934,Ryan Yarbrough,642232,5.11,155,27,82,1.226,0.703
935,Eric Yardley,642233,6.75,18.66,10,16,1.821,1.393
936,Huascar Ynoa,660623,4.05,91,25,54,1.110,0.868
937,Alex Young,622065,6.58,52,27,37,1.769,1.231
938,Daniel Zamora,623354,6.23,4.33,1,3,1.385,0.924
939,Angel Zerpa,672582,0.00,5,1,1,0.800,0.400
940,T. J. Zeuch,643615,6.60,15,9,15,2.000,1.600
941,Kyle Zimmer,622092,4.83,54,30,27,1.407,1.056
942,Bruce Zimmermann,669145,5.04,64.33,22,49,1.508,1.104
943,Jordan Zimmermann,519455,7.94,5.66,2,4,1.765,1.060
944,Tyler Zuber,676604,6.26,27.33,17,16,1.573,1.207
