index,Name,PlayerID,ERA,IP,BB,Hard Hits,WHIP,WHHIP
436,Clayton Kershaw,477132,3.55,121.66,21,60,1.019,0.666
437,Dallas Keuchel,572971,5.28,162,59,117,1.531,1.086
438,Mike Kickham,592464,13.50,2,1,5,3.000,3.000
439,Yusei Kikuchi,579328,4.41,157,62,103,1.319,1.051
440,Kwang Hyun Kim,547942,3.46,106.66,39,57,1.284,0.900
441,Craig Kimbrel,518886,2.26,59.66,23,19,0.905,0.704
443,John King,667463,3.52,46,12,21,1.152,0.717
444,Mike King,650633,3.55,63.33,24,30,1.279,0.853
445,Tyler Kinley,641755,4.73,70.33,26,32,1.209,0.825
446,Brandon Kintzler,445213,6.37,29.66,8,29,1.787,1.247
447,Andrew Kittredge,552640,1.88,71.66,15,30,0.977,0.628
448,Gabe Klobosits,656620,5.56,11.33,5,10,1.588,1.324
449,Corey Kluber,446372,3.83,80,33,41,1.338,0.925
450,Andrew Knapp,595284,0.00,0.33,0,0,0.000,0.000
451,Corey Knebel,608349,2.45,25.66,9,7,0.974,0.624
452,Reiss Knehr,663753,4.97,29,20,14,1.483,1.172
453,Dusten Knight,643400,9.35,8.66,5,5,1.846,1.155
454,Brody Koerner,621259,3.00,3,2,2,1.333,1.333
455,Adam Kolarek,592473,8.00,9,5,10,2.222,1.667
456,Michael Kopech,656629,3.50,69.33,24,30,1.125,0.779
457,Jackson Kowar,663804,11.27,30.33,20,31,2.077,1.682
458,Max Kranick,668820,6.28,38.66,19,24,1.707,1.112
459,Joey Krehbiel,607216,4.32,8.33,5,3,1.200,0.960
460,Dean Kremer,665152,7.55,53.66,25,46,1.640,1.323
461,Brooks Kriske,621139,14.29,11.33,6,12,2.029,1.589
462,Ian Krol,571871,4.34,18.66,8,10,1.661,0.965
463,Chad Kuhl,641771,4.82,80.33,42,39,1.432,1.008
464,Brady Lail,621078,13.50,2,0,2,2.000,1.000
465,Travis Lakins,664042,5.79,28,17,12,1.429,1.036
466,Jimmy Lambert,669424,6.23,13,6,7,1.692,1.000
467,Peter Lambert,663567,11.12,5.66,2,8,2.471,1.767
469,Dinelson Lamet,659275,4.40,47,22,24,1.489,0.979
470,Alex Lange,656638,4.04,35.66,16,23,1.486,1.094
471,Jake Latz,656641,5.79,4.66,0,4,1.071,0.858
472,Eric Lauer,641778,3.19,118.66,41,53,1.138,0.792
473,Derek Law,571882,4.20,15,8,11,1.600,1.267
474,Justin Lawrence,664875,8.64,16.66,19,10,2.400,1.741
475,Wade LeBlanc,453281,4.41,49,17,30,1.490,0.959
476,Dylan Lee,669276,9.00,2,0,2,1.500,1.000
477,Sandy Leon,506702,7.50,6,1,5,1.333,1.000
478,Dominic Leone,608678,1.51,53.66,22,19,1.099,0.764
479,Jon Lester,452657,4.71,141.33,55,95,1.514,1.061
480,Josh Lindblom,458676,9.72,16.66,10,16,1.980,1.561
481,Zack Littell,641793,2.92,61.66,24,31,1.135,0.892
482,Mauricio Llovera,661440,9.45,6.66,4,7,2.100,1.652
483,Jonathan Loaisiga,642528,2.17,70.66,16,25,1.019,0.580
484,Kyle Lobstein,543456,20.25,1.33,1,2,3.000,2.256
485,Sam Long,669674,5.53,40.66,15,21,1.279,0.885
486,Jorge Lopez,605347,6.07,121.66,56,96,1.627,1.249
487,Pablo Lopez,641154,3.07,102.66,26,49,1.120,0.731
488,Reynaldo Lopez,625643,3.43,57.66,13,26,0.954,0.676
489,Yoan López,661255,6.57,12.33,6,9,1.946,1.217
490,Michael Lorenzen,547179,5.59,29,14,15,1.379,1.000
491,Aaron Loup,571901,0.95,56.66,16,25,0.935,0.724
492,Richard Lovelady,663992,3.48,20.66,6,9,1.065,0.726
493,Zac Lowther,675912,6.67,29.66,13,26,1.652,1.315
495,Joey Lucchesi,664192,4.46,38.33,11,22,1.174,0.861
496,Lucas Luetge,476595,2.74,72.33,15,31,1.134,0.636
497,Seth Lugo,607625,3.50,46.33,19,27,1.295,0.993
498,Jordan Luplow,656669,9.00,1,0,2,2.000,2.000
499,Jesus Luzardo,666200,6.61,95.33,48,58,1.615,1.112
500,Jordan Lyles,543475,5.15,180,56,129,1.389,1.028
501,Daniel Lynch,663738,5.69,68,31,53,1.632,1.235
502,Lance Lynn,458681,2.69,157,45,62,1.070,0.682
503,Andres Machado,600921,3.53,35.66,15,14,1.262,0.813
504,Luis Madero,650347,9.00,12,8,11,1.750,1.583
505,Kenta Maeda,628317,4.66,106.33,32,63,1.298,0.893
506,Tyler Mahle,641816,3.75,180,64,86,1.233,0.833
507,Luke Maile,571912,9.00,1,0,1,2.000,1.000
508,Sean Manaea,640455,3.91,179.33,41,114,1.227,0.864
509,Matt Manning,666159,5.80,85.33,33,63,1.512,1.125
510,Alek Manoah,666201,3.22,111.66,40,40,1.048,0.716
